Title,Genre,,,,Date_of_film,Language
Anelka: Misunderstood,Documentary,,,,2020,French
"Ariana Grande: Excuse Me, I Love You",Concert Film,,,,2020,English
ARQ,Science fiction/Thriller,,,,2016,English
Birders,Documentary,,,,2019,English/Spanish
Como Caído del Cielo,Musical comedy,,,,2019,Spanish
First Match,Sports-drama,,,,2018,English
Fractured,Thriller,,,,2019,English
Irreplaceable You,Drama,,,,2018,English
Isi & Ossi,Romantic comedy,,,,2020,German
John Was Trying to Contact Aliens,Documentary,,,,2020,English
Layla Majnun,Romantic drama,,,,2021,Indonesian
Murder to Mercy: The Cyntoia Brown Story,Documentary,,,,2020,English
My Own Man,Documentary,,,,2014,English
Nappily Ever After,Comedy-drama,,,,2018,English
Over the Moon,Animation/Musical/Adventure,,,,2020,English
Street Flow,Drama,,,,2019,French
Strong Island,Documentary,,,,2017,English
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,,,,2019,English
Take Your Pills,Documentary,,,,2018,English
The Heartbreak Club,Comedy-drama,,,,2021,Indonesian
The Mars Generation,Documentary,,,,2017,English
The Occupant,Thriller,,,,2020,Spanish
The Willoughbys,Animation/Comedy/Adventure,,,,2020,English
Triple Frontier,Action-thriller,,,,2019,English
Two Catalonias,Documentary,,,,2018,Spanish/Catalan
Walk. Ride. Rodeo.,Drama,,,,2019,English
Wheelman,Action thriller,,,,2017,English
When We First Met,Romantic comedy,,,,2018,English
A 3 Minute Hug,Documentary,,,,2019,English/Spanish
All the Bright Places,Romance,,,,2020,English
All Together Now,Drama,,,,2020,English
Altered Carbon: Resleeved,Anime/Science fiction,,,,2020,Japanese
Antoine Griezmann: The Making of a Legend,Documentary,,,,2019,French
Canvas ,Animation / Short,,,,2020,English
Chadwick Boseman: Portrait of an Artist,Documentary,,,,2021,English
Chopsticks,Comedy,,,,2019,Hindi
Da 5 Bloods,War drama,,,,2020,English
Dolly Parton: A MusiCares Tribute,Documentary,,,,2021,English
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,,,,2020,English
Gerald's Game,Horror thriller,,,,2017,English
His House,Thriller,,,,2020,English
Jingle Jangle: A Christmas Journey,Family/Christmas musical,,,,2020,English
Life Overtakes Me,Documentary,,,,2019,English/Swedish
Lust Stories,Drama,,,,2018,Hindi
Monster,Drama,,,,2021,English
Mowgli: Legend of the Jungle,Adventure,,,,2018,English
Nobody Knows I'm Here,Drama,,,,2020,Spanish
Nobody Speak: Trials of the Free Press,Documentary,,,,2017,English
Oxygen,Science fiction thriller,,,,2021,French
Set It Up,Romantic comedy,,,,2018,English
The Incredible Jessica James,Comedy,,,,2017,English
Tigertail,Drama,,,,2020,English/Taiwanese/Mandarin
Tramps,Romance,,,,2017,English
What Did Jack Do?,Drama / Short,,,,2020,English
Bad Trip,Hidden-camera prank comedy,,,,2021,English
Bird Box,Psychological thriller,,,,2018,English
Bulbbul,Horror,,,,2020,Hindi
Crazy About Her,Romantic comedy,,,,2021,Spanish
Elisa & Marcela,Romance,,,,2019,Spanish
I'll Sleep When I'm Dead,Documentary,,,,2016,English
I'm Thinking of Ending Things,Psychological thriller,,,,2020,English
It Takes a Lunatic,Documentary,,,,2019,English
Milestone,Drama,,,,2021,Hindi
Recovery Boys,Documentary,,,,2018,English
ReMastered: Who Killed Jam Master Jay?,Documentary,,,,2018,English
Shawn Mendes: In Wonder,Documentary,,,,2020,English
Space Sweepers,Science fiction,,,,2021,Korean
The American Meme,Documentary,,,,2018,English
The Angel,Spy thriller,,,,2018,English
The Crimes That Bind,Crime drama,,,,2020,Spanish
The Red Sea Diving Resort,Spy thriller,,,,2019,English
What Would Sophia Loren Do?,Documentary,,,,2021,English
A Whisker Away,Anime/Fantasy,,,,2020,Japanese
Ajeeb Daastaans,Drama,,,,2021,Hindi
Arlo the Alligator Boy,Animated musical comedy,,,,2021,English
"Bikram: Yogi, Guru, Predator",Documentary,,,,2019,English
Blame!,Anime/Science fiction,,,,2017,Japanese
Blue Miracle,Drama,,,,2021,English
CounterPunch ,Documentary,,,,2017,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,,,,2021,English
Extraction,Action,,,,2020,English
Giving Voice,Documentary,,,,2020,English
